
> composer-runtime-hlfv1@0.17.6 start /usr/local/src
> node start.js "--peer.address" "peer0.saude.gov.br:7052"

E0328 21:22:45.917922320      17 ssl_transport_security.cc:238] Could not get common name of subject from certificate.
2018-03-28T21:22:46.521Z [60d05cb0] [INFO    ] @JS : ModelManager            :addSystemModels()        [object Object] 
2018-03-28T21:22:47.034Z [60d05cb0] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID 'Asset:org.hyperledger.composer.system.AssetRegistry' in collection with ID '$sysregistries' does not exist 
2018-03-28T21:22:47.051Z [60d05cb0] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID 'Asset:org.hyperledger.composer.system.ParticipantRegistry' in collection with ID '$sysregistries' does not exist 
2018-03-28T21:22:47.065Z [60d05cb0] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID 'Asset:org.hyperledger.composer.system.TransactionRegistry' in collection with ID '$sysregistries' does not exist 
2018-03-28T21:22:47.080Z [60d05cb0] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID 'Participant:org.hyperledger.composer.system.NetworkAdmin' in collection with ID '$sysregistries' does not exist 
2018-03-28T21:22:47.096Z [60d05cb0] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID 'Asset:org.hyperledger.composer.system.HistorianRecord' in collection with ID '$sysregistries' does not exist 
2018-03-28T21:22:47.108Z [60d05cb0] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID 'Transaction:org.hyperledger.composer.system.AddAsset' in collection with ID '$sysregistries' does not exist 
2018-03-28T21:22:47.120Z [60d05cb0] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID 'Transaction:org.hyperledger.composer.system.UpdateAsset' in collection with ID '$sysregistries' does not exist 
2018-03-28T21:22:47.134Z [60d05cb0] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID 'Transaction:org.hyperledger.composer.system.RemoveAsset' in collection with ID '$sysregistries' does not exist 
2018-03-28T21:22:47.147Z [60d05cb0] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID 'Transaction:org.hyperledger.composer.system.AddParticipant' in collection with ID '$sysregistries' does not exist 
2018-03-28T21:22:47.161Z [60d05cb0] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID 'Transaction:org.hyperledger.composer.system.UpdateParticipant' in collection with ID '$sysregistries' does not exist 
2018-03-28T21:22:47.177Z [60d05cb0] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID 'Transaction:org.hyperledger.composer.system.RemoveParticipant' in collection with ID '$sysregistries' does not exist 
